"","year","state","party","candidatevotes","leading_digit"
"1",1996,"AL","democrat",5015,5
"2",1996,"AL","democrat",12776,1
"3",1996,"AL","democrat",4787,4
"4",1996,"AL","democrat",2775,2
"5",1996,"AL","democrat",5061,5
"6",1996,"AL","democrat",3078,3
"7",1996,"AL","democrat",3828,3
"8",1996,"AL","democrat",15725,1
"9",1996,"AL","democrat",5515,5
"10",1996,"AL","democrat",4399,4
"11",1996,"AL","democrat",5354,5
"12",1996,"AL","democrat",4074,4
"13",1996,"AL","democrat",4831,4
"14",1996,"AL","democrat",2306,2
"15",1996,"AL","democrat",1737,1
"16",1996,"AL","democrat",5168,5
"17",1996,"AL","democrat",10226,1
"18",1996,"AL","democrat",2903,2
"19",1996,"AL","democrat",2121,2
"20",1996,"AL","democrat",4543,4
"21",1996,"AL","democrat",2172,2
"22",1996,"AL","democrat",9544,9
"23",1996,"AL","democrat",4732,4
"24",1996,"AL","democrat",10507,1
"25",1996,"AL","democrat",6544,6
"26",1996,"AL","democrat",6530,6
"27",1996,"AL","democrat",4651,4
"28",1996,"AL","democrat",17976,1
"29",1996,"AL","democrat",3381,3
"30",1996,"AL","democrat",5028,5
"31",1996,"AL","democrat",3174,3
"32",1996,"AL","democrat",3526,3
"33",1996,"AL","democrat",3372,3
"34",1996,"AL","democrat",3019,3
"35",1996,"AL","democrat",8791,8
"36",1996,"AL","democrat",8204,8
"37",1996,"AL","democrat",120208,1
"38",1996,"AL","democrat",2843,2
"39",1996,"AL","democrat",13619,1
"40",1996,"AL","democrat",5254,5
"41",1996,"AL","democrat",12919,1
"42",1996,"AL","democrat",8045,8
"43",1996,"AL","democrat",3970,3
"44",1996,"AL","democrat",7018,7
"45",1996,"AL","democrat",42259,4
"46",1996,"AL","democrat",4899,4
"47",1996,"AL","democrat",5049,5
"48",1996,"AL","democrat",8722,8
"49",1996,"AL","democrat",54749,5
"50",1996,"AL","democrat",3815,3
"51",1996,"AL","democrat",38382,3
"52",1996,"AL","democrat",14616,1
"53",1996,"AL","democrat",4053,4
"54",1996,"AL","democrat",4018,4
"55",1996,"AL","democrat",4514,4
"56",1996,"AL","democrat",3023,3
"57",1996,"AL","democrat",7834,7
"58",1996,"AL","democrat",6187,6
"59",1996,"AL","democrat",11280,1
"60",1996,"AL","democrat",4706,4
"61",1996,"AL","democrat",10385,1
"62",1996,"AL","democrat",6071,6
"63",1996,"AL","democrat",23067,2
"64",1996,"AL","democrat",12929,1
"65",1996,"AL","democrat",3935,3
"66",1996,"AL","democrat",3303,3
"67",1996,"AL","democrat",3120,3
"68",1996,"AL","republican",9509,9
"69",1996,"AL","republican",29487,2
