year,state_po,party,candidatevotes
2000,AL,democrat,4942
2000,AL,republican,11993
2000,AL,democrat,13997
2000,AL,republican,40872
2000,AL,democrat,5188
2000,AL,republican,5096
2000,AL,democrat,2710
2000,AL,republican,4273
2000,AL,democrat,4977
2000,AL,republican,12667
2000,AL,democrat,3395
2000,AL,republican,1433
2000,AL,democrat,3606
2000,AL,republican,4127
2000,AL,democrat,15781
2000,AL,republican,22306
2000,AL,democrat,5616
2000,AL,republican,6037
2000,AL,democrat,3497
2000,AL,republican,4154
2000,AL,democrat,4806
2000,AL,republican,10066
2000,AL,democrat,3707
2000,AL,republican,3600
2000,AL,democrat,4679
2000,AL,republican,5988
2000,AL,democrat,2045
2000,AL,republican,3719
2000,AL,democrat,1664
2000,AL,republican,3333
2000,AL,democrat,5220
2000,AL,republican,9938
2000,AL,democrat,10543
2000,AL,republican,10518
2000,AL,democrat,2783
2000,AL,republican,2699
2000,AL,democrat,2104
2000,AL,republican,2382
2000,AL,democrat,4440
2000,AL,republican,8961
2000,AL,democrat,1934
2000,AL,republican,2793
2000,AL,democrat,9758
2000,AL,republican,19157
2000,AL,democrat,4906
2000,AL,republican,10593
2000,AL,democrat,10967
2000,AL,republican,7360
2000,AL,democrat,7056
2000,AL,republican,12827
2000,AL,democrat,6652
2000,AL,republican,16777
2000,AL,democrat,4523
2000,AL,republican,6975
2000,AL,democrat,17433
2000,AL,republican,21087
2000,AL,democrat,3064
2000,AL,republican,4582
2000,AL,democrat,4793
2000,AL,republican,6119
2000,AL,democrat,2769
2000,AL,republican,6588
2000,AL,democrat,3504
2000,AL,republican,850
2000,AL,democrat,4652
2000,AL,republican,2984
2000,AL,democrat,2782
2000,AL,republican,4054
2000,AL,democrat,9412
2000,AL,republican,22150
2000,AL,democrat,9066
2000,AL,republican,8475
2000,AL,democrat,129889
2000,AL,republican,138491
2000,AL,democrat,2653
2000,AL,republican,4470
2000,AL,democrat,13875
2000,AL,republican,17478
2000,AL,democrat,6296
2000,AL,republican,5671
2000,AL,democrat,14574
2000,AL,republican,22433
2000,AL,democrat,8992
2000,AL,republican,14204
2000,AL,democrat,4557
2000,AL,republican,1638
2000,AL,democrat,7665
2000,AL,republican,1091
2000,AL,democrat,48199
2000,AL,republican,62151
2000,AL,democrat,4841
2000,AL,republican,4690
2000,AL,democrat,4600
2000,AL,republican,6910
2000,AL,democrat,10381
2000,AL,republican,17084
2000,AL,democrat,58640
2000,AL,republican,78162
2000,AL,democrat,3741
2000,AL,republican,5153
2000,AL,democrat,40371
2000,AL,republican,38827
2000,AL,democrat,16060
2000,AL,republican,25774
2000,AL,democrat,4020
2000,AL,republican,1732
2000,AL,democrat,4143
2000,AL,republican,4306
2000,AL,democrat,4357
2000,AL,republican,6058
2000,AL,democrat,3094
2000,AL,republican,4666
2000,AL,democrat,8396
2000,AL,republican,6198
2000,AL,democrat,6485
2000,AL,republican,17117
2000,AL,democrat,13183
2000,AL,republican,47651
2000,AL,democrat,4415
2000,AL,republican,1629
2000,AL,democrat,11264
2000,AL,republican,13807
2000,AL,democrat,6183
2000,AL,republican,9805
2000,AL,democrat,24614
2000,AL,republican,34003
2000,AL,democrat,11621
2000,AL,republican,13486
2000,AL,democrat,3386
2000,AL,republican,4117
2000,AL,democrat,3444
2000,AL,republican,1661
