County,Democratic %,Democratic,Republican %,Republican,Reform %,Reform,Nader,Votes,Others,Votes
San Francisco,72.24%,"209,777",15.66%,"45,479",3.33%,"9,659",7.39%,"21,471",1.38%,"3,999"
Alameda,65.77%,"303,903",23.07%,"106,581",5.25%,"24,270",4.42%,"20,432",1.48%,"6,858"
San Mateo,60.55%,"152,304",29.22%,"73,508",5.98%,"15,047",2.92%,"7,336",1.33%,"3,337"
Los Angeles,59.34%,"1,430,629",30.96%,"746,544",6.54%,"157,752",1.91%,"45,977",1.25%,"30,112"
Marin,58.04%,"67,406",28.17%,"32,714",5.65%,"6,559",6.34%,"7,360",1.81%,"2,101"
Yolo,56.88%,"33,033",32.38%,"18,807",5.42%,"3,150",4.09%,"2,377",1.23%,712
Santa Clara,56.88%,"297,639",32.16%,"168,291",6.67%,"34,908",2.35%,"12,312",1.94%,"10,141"
Santa Cruz,56.52%,"58,250",26.94%,"27,766",6.36%,"6,555",7.57%,"7,803",2.61%,"2,688"
Contra Costa,55.73%,"196,512",35.15%,"123,954",5.79%,"20,416",2.08%,"7,334",1.24%,"4,386"
Sonoma,55.57%,"100,738",29.54%,"53,555",7.65%,"13,862",5.27%,"9,547",1.98%,"3,595"
Imperial,55.27%,"14,591",36.76%,"9,705",6.73%,"1,778",0.58%,154,0.65%,172
Solano,55.12%,"64,644",34.74%,"40,742",7.40%,"8,682",1.59%,"1,868",1.15%,"1,343"
Monterey,53.15%,"57,700",36.66%,"39,794",6.67%,"7,240",2.20%,"2,391",1.32%,"1,433"
Napa,50.89%,"24,588",36.09%,"17,439",8.80%,"4,254",2.57%,"1,242",1.65%,796
San Benito,50.55%,"7,030",38.72%,"5,384",7.51%,"1,044",1.70%,236,1.52%,212
Sacramento,49.83%,"203,019",40.76%,"166,049",5.86%,"23,856",2.24%,"9,142",1.31%,"5,348"
Lake,48.90%,"10,432",34.96%,"7,458",11.90%,"2,539",2.73%,583,1.51%,323
