County,Republican,Republican %,Democratic,Democratic %,Reform,Reform %,Libertarian,Libertarian %,Margin,Margin %,Total votes cast
Appling,2572,50.44%,2070,40.60%,446,8.75%,11,0.22%,502,9.85%,5099
Atkinson,784,42.94%,823,45.07%,215,11.77%,4,0.22%,-39,-2.14%,1826
Bacon,1580,47.07%,1360,40.51%,402,11.97%,15,0.45%,220,6.55%,3357
Baker,408,27.66%,955,64.75%,105,7.12%,7,0.47%,-547,-37.08%,1475
Baldwin,4570,40.79%,5740,51.23%,849,7.58%,46,0.41%,-1170,-10.44%,11205
Banks,1925,47.23%,1536,37.68%,595,14.60%,20,0.49%,389,9.54%,4076
Barrow,5342,51.65%,3928,37.98%,942,9.11%,130,1.26%,1414,13.67%,10342
Bartow,9250,51.32%,6853,38.02%,1770,9.82%,152,0.84%,2397,13.30%,18025
Ben_Hill,1516,37.08%,2198,53.77%,358,8.76%,16,0.39%,-682,-16.68%,4088
Berrien,1950,42.87%,2066,45.42%,525,11.54%,8,0.18%,-116,-2.55%,4549
Bibb,20778,41.61%,26727,53.53%,2268,4.54%,159,0.32%,-5949,-11.91%,49932
Bleckley,1632,49.33%,1365,41.26%,300,9.07%,11,0.33%,267,8.07%,3308
Brantley,1738,47.83%,1494,41.11%,386,10.62%,16,0.44%,244,6.71%,3634
Brooks,1738,42.87%,1977,48.77%,314,7.75%,25,0.62%,-239,-5.90%,4054
Bryan,3577,57.06%,2152,34.33%,513,8.18%,27,0.43%,1425,22.73%,6269
Bulloch,6646,50.97%,5396,41.38%,939,7.20%,58,0.44%,1250,9.59%,13039
Burke,2590,37.47%,3915,56.63%,389,5.63%,19,0.27%,-1325,-19.17%,6913
Butts,2027,42.61%,2271,47.74%,416,8.75%,43,0.90%,-244,-5.13%,4757
Calhoun,541,28.96%,1217,65.15%,106,5.67%,4,0.21%,-676,-36.19%,1868
Camden,4222,49.75%,3644,42.94%,572,6.74%,48,0.57%,578,6.81%,8486
Candler,1131,45.22%,1097,43.86%,264,10.56%,9,0.36%,34,1.36%,2501
Carroll,11157,51.25%,8438,38.76%,2002,9.20%,172,0.79%,2719,12.49%,21769
Catoosa,8237,55.89%,5185,35.18%,1257,8.53%,60,0.41%,3052,20.71%,14739
Charlton,1374,45.33%,1368,45.13%,280,9.24%,9,0.30%,6,0.20%,3031
Chatham,31987,44.88%,35781,50.20%,3028,4.25%,481,0.67%,-3794,-5.32%,71277
Chattahoochee,398,36.78%,565,52.22%,115,10.63%,4,0.37%,-167,-15.43%,1082
Chattooga,2513,39.72%,3003,47.47%,796,12.58%,14,0.22%,-490,-7.75%,6326
Cherokee,24527,63.41%,10802,27.93%,2872,7.43%,476,1.23%,13725,35.49%,38677
Clarke,10504,38.41%,15206,55.61%,1201,4.39%,435,1.59%,-4702,-17.19%,27346
Clay,293,25.63%,787,68.85%,62,5.42%,1,0.09%,-494,-43.22%,1143
Clayton,20625,37.34%,30687,55.55%,3494,6.32%,436,0.79%,-10062,-18.21%,55242
Clinch,789,40.42%,973,49.85%,182,9.32%,8,0.41%,-184,-9.43%,1952
Cobb,114188,56.93%,73750,36.77%,10438,5.20%,2197,1.10%,40438,20.16%,200573
Coffee,3934,48.72%,3407,42.19%,711,8.80%,23,0.28%,527,6.53%,8075
Colquitt,4847,48.51%,4135,41.38%,977,9.78%,33,0.33%,712,7.13%,9992
Columbia,21291,67.18%,8601,27.14%,1709,5.39%,92,0.29%,12690,40.04%,31693
Cook,1354,39.74%,1780,52.25%,267,7.84%,6,0.18%,-426,-12.50%,3407
Coweta,13058,56.85%,7794,33.93%,1949,8.48%,169,0.74%,5264,22.92%,22970
Crawford,1290,41.57%,1534,49.44%,270,8.70%,9,0.29%,-244,-7.86%,3103
Crisp,2321,43.83%,2504,47.28%,445,8.40%,26,0.49%,-183,-3.46%,5296
Dade,2295,49.16%,1737,37.21%,618,13.24%,18,0.39%,558,11.95%,4668
Dawson,2343,54.41%,1434,33.30%,473,10.98%,56,1.30%,909,21.11%,4306
Decatur,3035,44.65%,3245,47.74%,497,7.31%,20,0.29%,-210,-3.09%,6797
DeKalb,60255,29.08%,137903,66.55%,6742,3.25%,2329,1.12%,-77648,-37.47%,207229
Dodge,2478,42.86%,2696,46.64%,587,10.15%,20,0.35%,-218,-3.77%,5781
Dooly,990,31.33%,1951,61.74%,207,6.55%,12,0.38%,-961,-30.41%,3160
Dougherty,11144,39.98%,15600,55.97%,1072,3.85%,56,0.20%,-4456,-15.99%,27872
Douglas,14495,54.75%,9631,36.37%,2109,7.97%,242,0.91%,4864,18.37%,26477
Early,1374,41.98%,1648,50.35%,246,7.52%,5,0.15%,-274,-8.37%,3273
Echols,335,45.09%,308,41.45%,97,13.06%,3,0.40%,27,3.63%,743
Effingham,5022,56.76%,3031,34.26%,769,8.69%,26,0.29%,1991,22.50%,8848
Elbert,2393,40.86%,2900,49.51%,552,9.42%,12,0.20%,-507,-8.66%,5857
Emanuel,2451,41.73%,2947,50.18%,450,7.66%,25,0.43%,-496,-8.45%,5873
Evans,1206,47.52%,1117,44.01%,204,8.04%,11,0.43%,89,3.51%,2538
Fannin,3373,48.67%,2741,39.55%,782,11.28%,34,0.49%,632,9.12%,6930
Fayette,21005,63.25%,9875,29.74%,2016,6.07%,313,0.94%,11130,33.52%,33209
Floyd,12426,48.96%,10464,41.23%,2345,9.24%,143,0.56%,1962,7.73%,25378
Forsyth,15013,64.83%,5957,25.72%,1889,8.16%,300,1.30%,9056,39.10%,23159
Franklin,2364,43.79%,2338,43.30%,665,12.32%,32,0.59%,26,0.48%,5399
Fulton,89809,36.93%,143306,58.93%,7720,3.17%,2333,0.96%,-53497,-22.00%,243168
Gilmer,3121,49.06%,2464,38.74%,725,11.40%,51,0.80%,657,10.33%,6361
Glascock,532,52.78%,348,34.52%,128,12.70%,0,0.00%,184,18.25%,1008
Glynn,12305,56.96%,8058,37.30%,1137,5.26%,102,0.47%,4247,19.66%,21602
Gordon,5232,48.35%,4239,39.18%,1284,11.87%,65,0.60%,993,9.18%,10820
Grady,2674,43.23%,2862,46.27%,633,10.23%,16,0.26%,-188,-3.04%,6185
Greene,1702,42.39%,2115,52.68%,173,4.31%,25,0.62%,-413,-10.29%,4015
Gwinnett,96610,59.29%,53819,33.03%,10236,6.28%,2280,1.40%,42791,26.26%,162945
Habersham,4730,51.93%,3170,34.80%,1149,12.62%,59,0.65%,1560,17.13%,9108
Hall,19280,59.84%,10362,32.16%,2321,7.20%,256,0.79%,8918,27.68%,32219
Hancock,438,16.55%,2135,80.69%,71,2.68%,2,0.08%,-1697,-64.13%,2646
Haralson,3260,46.89%,2850,40.99%,808,11.62%,35,0.50%,410,5.90%,6953
Harris,3829,53.70%,2779,38.97%,489,6.86%,34,0.48%,1050,14.72%,7131
Hart,2884,40.22%,3486,48.61%,767,10.70%,34,0.47%,-602,-8.39%,7171
Heard,1170,41.14%,1248,43.88%,406,14.28%,20,0.70%,-78,-2.74%,2844
Henry,16968,58.36%,9498,32.67%,2320,7.98%,288,0.99%,7470,25.69%,29074
Houston,17050,52.18%,12760,39.05%,2730,8.35%,138,0.42%,4290,13.13%,32678
Irwin,1085,42.72%,1225,48.23%,224,8.82%,6,0.24%,-140,-5.51%,2540
Jackson,4782,50.38%,3746,39.46%,899,9.47%,65,0.68%,1036,10.91%,9492
Jasper,1423,44.00%,1553,48.02%,243,7.51%,15,0.46%,-130,-4.02%,3234
Jeff_Davis,1796,47.08%,1576,41.31%,428,11.22%,15,0.39%,220,5.77%,3815
Jefferson,2077,35.86%,3404,58.77%,298,5.15%,13,0.22%,-1327,-22.91%,5792
Jenkins,955,38.77%,1336,54.24%,166,6.74%,6,0.24%,-381,-15.47%,2463
Johnson,815,36.14%,1194,52.95%,242,10.73%,4,0.18%,-379,-16.81%,2255
Jones,3272,46.80%,3195,45.70%,497,7.11%,28,0.40%,77,1.10%,6992
Lamar,1988,43.75%,2125,46.76%,409,9.00%,22,0.48%,-137,-3.01%,4544
Lanier,519,34.55%,818,54.46%,160,10.65%,5,0.33%,-299,-19.91%,1502
Laurens,6118,47.79%,5792,45.24%,818,6.39%,75,0.59%,326,2.55%,12803
Lee,3983,61.15%,2005,30.78%,506,7.77%,19,0.29%,1978,30.37%,6513
Liberty,3042,37.42%,4462,54.89%,580,7.13%,45,0.55%,-1420,-17.47%,8129
