County,Republican,Republican %,Democratic,Democratic %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Adams,6960,55.44%,4247,33.83%,1346,10.72%,NA,NA,2713,21.61%,12553
Allen,59255,54.11%,41450,37.85%,8808,8.04%,NA,NA,17805,16.26%,109513
Bartholomew,13188,52.12%,9301,36.76%,2815,11.12%,NA,NA,3887,15.36%,25304
Benton,1947,50.35%,1311,33.90%,609,15.75%,NA,NA,636,16.45%,3867
Blackford,2070,40.70%,2335,45.91%,681,13.39%,NA,NA,-265,-5.21%,5086
Boone,11338,64.93%,4625,26.49%,1498,8.58%,NA,NA,6713,38.45%,17461
Brown,2988,48.17%,2413,38.90%,802,12.93%,NA,NA,575,9.27%,6203
Carroll,4062,50.90%,2747,34.42%,1171,14.67%,NA,NA,1315,16.48%,7980
Cass,8020,51.85%,5419,35.03%,2029,13.12%,NA,NA,2601,16.82%,15468
Clark,14396,40.24%,17799,49.76%,3578,10.00%,NA,NA,-3403,-9.51%,35773
Clay,4858,49.22%,3605,36.53%,1406,14.25%,NA,NA,1253,12.70%,9869
Clinton,6156,53.72%,3949,34.46%,1355,11.82%,NA,NA,2207,19.26%,11460
Crawford,1759,36.78%,2324,48.59%,700,14.64%,NA,NA,-565,-11.81%,4783
Daviess,5531,56.70%,3230,33.11%,994,10.19%,NA,NA,2301,23.59%,9755
Dearborn,8318,50.97%,6269,38.42%,1731,10.61%,NA,NA,2049,12.56%,16318
Decatur,4782,51.08%,3190,34.08%,1389,14.84%,NA,NA,1592,17.01%,9361
DeKalb,6851,51.80%,4840,36.60%,1534,11.60%,NA,NA,2011,15.21%,13225
Delaware,18126,40.68%,20385,45.75%,6042,13.56%,NA,NA,-2259,-5.07%,44553
Dubois,6840,45.25%,6499,42.99%,1777,11.76%,NA,NA,341,2.26%,15116
Elkhart,28770,56.97%,16598,32.87%,5133,10.16%,NA,NA,12172,24.10%,50501
Fayette,4091,45.20%,3822,42.23%,1137,12.56%,NA,NA,269,2.97%,9050
Floyd,12473,43.17%,13814,47.81%,2609,9.03%,NA,NA,-1341,-4.64%,28896
Fountain,3984,54.25%,2327,31.69%,1033,14.07%,NA,NA,1657,22.56%,7344
Franklin,4167,52.63%,2808,35.46%,943,11.91%,NA,NA,1359,17.16%,7918
Fulton,3934,48.97%,2956,36.80%,1143,14.23%,NA,NA,978,12.17%,8033
Gibson,5392,40.04%,6488,48.18%,1585,11.77%,NA,NA,-1096,-8.14%,13465
Grant,13443,51.17%,9818,37.37%,3008,11.45%,NA,NA,3625,13.80%,26269
Greene,5746,45.20%,5277,41.51%,1690,13.29%,NA,NA,469,3.69%,12713
Hamilton,42792,69.95%,14153,23.13%,4234,6.92%,NA,NA,28639,46.81%,61179
Hancock,12907,60.63%,6123,28.76%,2258,10.61%,NA,NA,6784,31.87%,21288
Harrison,6073,43.97%,5900,42.72%,1839,13.31%,NA,NA,173,1.25%,13812
Hendricks,22293,63.53%,9392,26.77%,3405,9.70%,NA,NA,12901,36.77%,35090
Henry,8537,45.93%,7667,41.25%,2381,12.81%,NA,NA,870,4.68%,18585
Howard,16771,50.91%,11999,36.42%,4172,12.66%,NA,NA,4772,14.49%,32942
Huntington,8275,59.27%,4287,30.70%,1400,10.03%,NA,NA,3988,28.56%,13962
Jackson,5883,46.61%,5150,40.80%,1590,12.60%,NA,NA,733,5.81%,12623
Jasper,5173,51.74%,3554,35.55%,1271,12.71%,NA,NA,1619,16.19%,9998
Jay,3584,45.01%,3356,42.15%,1022,12.84%,NA,NA,228,2.86%,7962
Jefferson,4827,41.24%,5441,46.48%,1438,12.28%,NA,NA,-614,-5.25%,11706
Jennings,4461,43.26%,4223,40.95%,1629,15.80%,NA,NA,238,2.31%,10313
Johnson,23733,60.88%,11278,28.93%,3975,10.20%,NA,NA,12455,31.95%,38986
Knox,6395,41.47%,7003,45.42%,2022,13.11%,NA,NA,-608,-3.94%,15420
Kosciusko,15084,63.43%,6166,25.93%,2531,10.64%,NA,NA,8918,37.50%,23781
LaGrange,4033,52.47%,2704,35.18%,949,12.35%,NA,NA,1329,17.29%,7686
Lake,47873,29.35%,100198,61.43%,15051,9.23%,NA,NA,-52325,-32.08%,163122
LaPorte,14106,36.06%,19879,50.82%,5133,13.12%,NA,NA,-5773,-14.76%,39118
Lawrence,8107,51.07%,5703,35.93%,2063,13.00%,NA,NA,2404,15.15%,15873
