County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Green,Green %,Natural Law,Natural Law %,Various candidates,Various candidates %,Margin,Margin %,Total votes cast
Adair,1802,45.79%,1655,42.06%,458,11.64%,5,0.13%,2,0.05%,13,0.33%,147,3.74%,3935
Adams,1070,46.00%,920,39.55%,320,13.76%,4,0.17%,2,0.09%,10,0.43%,150,6.45%,2326
Allamakee,2551,44.13%,2457,42.50%,680,11.76%,28,0.48%,10,0.17%,55,0.95%,94,1.63%,5781
Appanoose,2747,49.12%,2233,39.93%,554,9.91%,12,0.21%,6,0.11%,40,0.72%,514,9.19%,5592
Audubon,1827,52.38%,1314,37.67%,314,9.00%,8,0.23%,6,0.17%,19,0.54%,513,14.71%,3488
Benton,5546,53.95%,3835,37.31%,846,8.23%,13,0.13%,11,0.11%,28,0.27%,1711,16.65%,10279
Black_Hawk,29651,55.83%,19322,36.38%,3623,6.82%,253,0.48%,36,0.07%,224,0.42%,10329,19.45%,53109
Boone,6446,54.47%,4293,36.27%,987,8.34%,58,0.49%,13,0.11%,38,0.32%,2153,18.19%,11835
Bremer,5023,49.38%,4213,41.42%,862,8.47%,33,0.32%,14,0.14%,27,0.27%,810,7.96%,10172
Buchanan,4997,55.83%,3043,34.00%,836,9.34%,20,0.22%,19,0.21%,36,0.40%,1954,21.83%,8951
Buena_Vista,3420,42.94%,3636,45.65%,831,10.43%,19,0.24%,12,0.15%,47,0.59%,-216,-2.71%,7965
Butler,3061,46.16%,3036,45.78%,489,7.37%,12,0.18%,8,0.12%,25,0.38%,25,0.38%,6631
Calhoun,2193,45.89%,2077,43.46%,462,9.67%,16,0.33%,7,0.15%,24,0.50%,116,2.43%,4779
Carroll,4333,49.29%,3392,38.59%,998,11.35%,20,0.23%,11,0.13%,36,0.41%,941,10.71%,8790
Cass,2616,38.11%,3384,49.29%,809,11.78%,15,0.22%,8,0.12%,33,0.48%,-768,-11.19%,6865
Cedar,3856,50.23%,2966,38.64%,756,9.85%,42,0.55%,22,0.29%,34,0.44%,890,11.59%,7676
Cerro_Gordo,11943,56.26%,7427,34.99%,1689,7.96%,60,0.28%,14,0.07%,94,0.44%,4516,21.27%,21227
Cherokee,2853,44.79%,2629,41.27%,834,13.09%,15,0.24%,6,0.09%,33,0.52%,224,3.52%,6370
Chickasaw,3355,52.75%,2191,34.45%,759,11.93%,14,0.22%,11,0.17%,30,0.47%,1164,18.30%,6360
Clarke,2053,52.33%,1401,35.71%,440,11.22%,11,0.28%,3,0.08%,15,0.38%,652,16.62%,3923
Clay,3659,47.80%,3129,40.88%,802,10.48%,20,0.26%,8,0.10%,37,0.48%,530,6.92%,7655
Clayton,4284,52.28%,2944,35.93%,912,11.13%,32,0.39%,3,0.04%,19,0.23%,1340,16.35%,8194
Clinton,11481,53.17%,7624,35.30%,2300,10.65%,77,0.36%,32,0.15%,81,0.38%,3857,17.86%,21595
Crawford,3140,46.76%,2686,40.00%,847,12.61%,10,0.15%,8,0.12%,24,0.36%,454,6.76%,6715
Dallas,8017,50.07%,6647,41.52%,1198,7.48%,55,0.34%,24,0.15%,69,0.43%,1370,8.56%,16010
Davis,1894,50.39%,1445,38.44%,382,10.16%,10,0.27%,8,0.21%,20,0.53%,449,11.94%,3759
Decatur,1846,50.95%,1287,35.52%,452,12.48%,17,0.47%,4,0.11%,17,0.47%,559,15.43%,3623
Delaware,3704,49.41%,3065,40.88%,679,9.06%,20,0.27%,4,0.05%,25,0.33%,639,8.52%,7497
Des_Moines,10761,57.94%,5778,31.11%,1792,9.65%,83,0.45%,31,0.17%,129,0.69%,4983,26.83%,18574
Dickinson,3562,46.59%,3129,40.92%,901,11.78%,23,0.30%,10,0.13%,21,0.27%,433,5.66%,7646
Dubuque,20839,54.77%,13391,35.19%,3304,8.68%,254,0.67%,66,0.17%,197,0.52%,7448,19.57%,38051
Emmet,2270,51.46%,1641,37.20%,470,10.66%,11,0.25%,8,0.18%,11,0.25%,629,14.26%,4411
Fayette,4832,50.21%,3848,39.98%,890,9.25%,17,0.18%,9,0.09%,28,0.29%,984,10.22%,9624
Floyd,3769,54.73%,2379,34.54%,689,10.00%,15,0.22%,15,0.22%,20,0.29%,1390,20.18%,6887
Franklin,2232,47.16%,2054,43.40%,417,8.81%,14,0.30%,5,0.11%,11,0.23%,178,3.76%,4733
Fremont,1481,41.58%,1576,44.24%,480,13.48%,3,0.08%,6,0.17%,16,0.45%,-95,-2.67%,3562
Greene,2519,52.49%,1861,38.78%,396,8.25%,9,0.19%,1,0.02%,13,0.27%,658,13.71%,4799
Grundy,2322,40.83%,2928,51.49%,401,7.05%,11,0.19%,3,0.05%,22,0.39%,-606,-10.66%,5687
Guthrie,2552,49.65%,2034,39.57%,515,10.02%,11,0.21%,4,0.08%,24,0.47%,518,10.08%,5140
Hamilton,3455,47.48%,3109,42.72%,661,9.08%,23,0.32%,7,0.10%,22,0.30%,346,4.75%,7277
