County,Clinton%,Democratic,Dole%,Republican,Others%,Others#
Adair,27.90%,"1,821",59.30%,"3,876",12.90%,841
Allen,34.10%,"1,781",58.00%,"3,032",8.00%,417
Anderson,43.60%,"2,898",44.70%,"2,972",11.80%,783
Ballard,60.30%,"2,255",28.40%,"1,064",11.30%,423
Barren,42.60%,"5,044",48.10%,"5,700",9.30%,"1,100"
Bath,52.80%,"1,886",34.40%,"1,229",12.80%,455
Bell,50.50%,"5,058",39.10%,"3,917",10.30%,"1,033"
Boone,32.70%,"8,379",58.90%,"15,085",8.40%,"2,143"
Bourbon,48.40%,"3,030",41.40%,"2,592",10.20%,636
Boyd,51.20%,"9,668",37.30%,"7,054",11.50%,"2,171"
Boyle,44.20%,"3,877",47.30%,"4,157",8.50%,748
Bracken,38.80%,"1,055",50.40%,"1,371",10.80%,294
Breathitt,67.90%,"3,106",23.10%,"1,058",9.00%,414
Breckinridge,43.50%,"2,956",46.40%,"3,151",10.20%,690
Bullitt,41.60%,"7,651",47.30%,"8,697",11.10%,"2,047"
Butler,30.40%,"1,260",61.00%,"2,531",8.60%,358
Caldwell,47.20%,"2,434",40.10%,"2,067",12.70%,654
Calloway,45.70%,"5,281",43.10%,"4,989",11.20%,"1,296"
Campbell,38.30%,"11,957",53.30%,"16,640",8.40%,"2,619"
Carlisle,55.80%,"1,355",33.60%,816,10.50%,256
Carroll,52.20%,"1,689",36.10%,"1,170",11.70%,378
Carter,48.00%,"3,728",41.70%,"3,240",10.30%,803
Casey,22.70%,"1,106",65.40%,"3,187",11.90%,580
Christian,42.10%,"6,843",51.00%,"8,285",7.00%,"1,132"
Clark,45.80%,"4,987",43.50%,"4,739",10.70%,"1,170"
Clay,33.40%,"2,135",58.10%,"3,716",8.60%,550
Clinton,27.00%,"1,072",63.40%,"2,521",9.60%,383
Crittenden,43.50%,"1,480",44.30%,"1,509",12.20%,415
Cumberland,28.30%,753,62.10%,"1,654",9.60%,255
Daviess,44.00%,"15,366",45.40%,"15,844",10.70%,"3,720"
Edmonson,35.30%,"1,595",58.00%,"2,619",6.70%,305
Elliott,64.40%,"1,298",20.90%,421,14.70%,296
Estill,38.70%,"1,724",49.90%,"2,220",11.40%,506
Fayette,47.10%,"43,632",46.30%,"42,930",6.60%,"6,102"
Fleming,40.20%,"1,913",48.60%,"2,313",11.30%,538
Floyd,67.10%,"9,655",21.80%,"3,139",11.10%,"1,590"
Franklin,55.20%,"11,251",35.00%,"7,132",9.70%,"1,984"
