County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Libertarian,Libertarian %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Alcona,2619,47.15%,2227,40.09%,669,12.04%,32,0.58%,8,0.14%,392,7.06%,5555
Alger,2229,52.68%,1429,33.77%,537,12.69%,22,0.52%,14,0.33%,800,18.91%,4231
Allegan,14361,37.02%,20859,53.77%,3269,8.43%,184,0.47%,117,0.30%,-6498,-16.75%,38790
Alpena,7114,52.73%,4525,33.54%,1730,12.82%,59,0.44%,64,0.47%,2589,19.19%,13492
Antrim,4226,41.85%,4630,45.85%,1129,11.18%,85,0.84%,28,0.28%,-404,-4.00%,10098
Arenac,3472,52.68%,2247,34.09%,844,12.81%,19,0.29%,9,0.14%,1225,18.59%,6591
Baraga,1601,48.60%,1209,36.70%,460,13.96%,18,0.55%,6,0.18%,392,11.90%,3294
Barry,9467,40.95%,11139,48.18%,2282,9.87%,147,0.64%,85,0.37%,-1672,-7.23%,23120
Bay,27835,56.12%,16038,32.33%,5410,10.91%,141,0.28%,179,0.36%,11797,23.78%,49603
Benzie,3081,45.41%,2856,42.09%,763,11.25%,59,0.87%,26,0.38%,225,3.32%,6785
Berrien,24614,41.51%,28254,47.65%,5958,10.05%,254,0.43%,215,0.36%,-3640,-6.14%,59295
Branch,6567,44.36%,6321,42.70%,1779,12.02%,94,0.63%,44,0.30%,246,1.66%,14805
Calhoun,26287,50.12%,20953,39.95%,4765,9.09%,251,0.48%,187,0.36%,5334,10.17%,52443
Cass,8207,45.65%,7373,41.01%,2241,12.46%,107,0.60%,52,0.29%,834,4.64%,17980
Charlevoix,4689,42.64%,4864,44.23%,1303,11.85%,95,0.86%,45,0.41%,-175,-1.59%,10996
Cheboygan,5018,46.32%,4244,39.18%,1462,13.50%,85,0.78%,24,0.22%,774,7.14%,10833
Chippewa,6532,49.26%,5137,38.74%,1453,10.96%,81,0.61%,56,0.42%,1395,10.52%,13259
Clare,6311,54.02%,3742,32.03%,1531,13.10%,64,0.55%,35,0.30%,2569,21.99%,11683
Clinton,11945,41.76%,13694,47.88%,2698,9.43%,174,0.61%,90,0.31%,-1749,-6.12%,28601
Crawford,2666,46.60%,2157,37.70%,840,14.68%,36,0.63%,22,0.38%,509,8.90%,5721
Delta,8561,53.01%,5925,36.69%,1543,9.55%,76,0.47%,45,0.28%,2636,16.32%,16150
Dickinson,5614,48.43%,4408,38.03%,1478,12.75%,38,0.33%,53,0.46%,1206,10.40%,11591
Eaton,19781,44.29%,20092,44.98%,4378,9.80%,254,0.57%,161,0.36%,-311,-0.70%,44666
Emmet,4892,38.89%,6002,47.71%,1512,12.02%,80,0.64%,94,0.75%,-1110,-8.82%,12580
Genesee,106065,60.94%,49332,28.34%,17671,10.15%,633,0.36%,355,0.20%,56733,32.59%,174056
Gladwin,5494,51.38%,3670,34.32%,1466,13.71%,38,0.36%,24,0.22%,1824,17.06%,10692
Gogebic,4436,54.19%,2769,33.83%,917,11.20%,23,0.28%,41,0.50%,1667,20.36%,8186
Grand_Traverse,12987,38.97%,16355,49.07%,3527,10.58%,279,0.84%,181,0.54%,-3368,-10.11%,33329
Gratiot,6793,45.67%,6214,41.77%,1762,11.85%,70,0.47%,36,0.24%,579,3.89%,14875
Hillsdale,5955,36.39%,7947,48.56%,2262,13.82%,154,0.94%,48,0.29%,-1992,-12.17%,16366
Houghton,5957,43.57%,5941,43.46%,1584,11.59%,119,0.87%,70,0.51%,16,0.12%,13671
Huron,6827,45.96%,6126,41.24%,1811,12.19%,64,0.43%,27,0.18%,701,4.72%,14855
Ingham,63584,54.43%,43096,36.89%,8640,7.40%,948,0.81%,547,0.47%,20488,17.54%,116815
Ionia,9261,43.17%,9574,44.63%,2354,10.97%,198,0.92%,65,0.30%,-313,-1.46%,21452
Iosco,6240,50.23%,4410,35.50%,1710,13.76%,35,0.28%,29,0.23%,1830,14.73%,12424
Iron,3232,53.34%,2014,33.24%,755,12.46%,36,0.59%,22,0.36%,1218,20.10%,6059
Isabella,9635,49.81%,7460,38.57%,2069,10.70%,117,0.60%,61,0.32%,2175,11.24%,19342
