County,Republican %,Republican,Democratic %,Democratic,Reform %,Reform,Libertarian %,Libertarian,Other parties %,Other parties,Margin %,Margin
Yadkin,68.54%,8439,23.77%,2927,7.41%,913,0.18%,22,0.10%,12,44.77%,5512
Mitchell,65.15%,3874,25.16%,1496,9.23%,549,0.34%,20,0.12%,7,39.99%,2378
Avery,62.83%,3870,25.75%,1586,10.63%,655,0.45%,28,0.32%,20,37.08%,2284
Davie,64.51%,8141,27.93%,3525,7.25%,915,0.21%,27,0.10%,12,36.58%,4616
Randolph,61.36%,23030,28.73%,10783,9.57%,3593,0.22%,82,0.13%,47,32.63%,12247
Stokes,61.82%,9471,31.13%,4769,6.69%,1025,0.29%,45,0.07%,10,30.69%,4702
Davidson,58.75%,24797,32.21%,13593,8.76%,3698,0.21%,89,0.07%,30,26.55%,11204
Wilkes,58.39%,12395,32.00%,6793,9.27%,1967,0.27%,58,0.07%,15,26.39%,5602
Henderson,58.70%,19182,32.52%,10626,8.20%,2679,0.41%,135,0.17%,54,26.18%,8556
Catawba,58.03%,26898,33.66%,15601,7.83%,3629,0.37%,171,0.12%,55,24.37%,11297
Gaston,58.42%,33149,34.29%,19458,6.91%,3921,0.28%,158,0.09%,53,24.13%,13691
Alexander,57.53%,6748,33.72%,3955,8.56%,1004,0.13%,15,0.07%,8,23.81%,2793
Rowan,57.94%,22754,34.28%,13461,7.39%,2902,0.30%,117,0.10%,39,23.66%,9293
Johnston,58.23%,18704,34.79%,11175,6.73%,2163,0.17%,55,0.07%,22,23.44%,7529
Union,57.03%,18802,34.96%,11525,7.51%,2477,0.35%,117,0.15%,49,22.07%,7277
Iredell,56.57%,21163,35.02%,13102,7.94%,2970,0.30%,114,0.16%,60,21.55%,8061
Stanly,56.29%,11446,35.07%,7131,8.31%,1690,0.23%,46,0.10%,20,21.22%,4315
Cabarrus,55.76%,23035,34.97%,14447,8.78%,3626,0.32%,132,0.17%,70,20.79%,8588
Caldwell,55.18%,12653,35.11%,8050,9.15%,2099,0.21%,48,0.35%,81,20.07%,4603
Carteret,56.15%,11721,36.24%,7566,7.03%,1467,0.36%,75,0.23%,47,19.90%,4155
Onslow,55.70%,13396,36.11%,8685,7.72%,1857,0.37%,88,0.10%,23,19.59%,4711
Surry,55.53%,11117,36.48%,7303,7.68%,1538,0.22%,44,0.09%,19,19.05%,3814
Moore,55.74%,14760,37.19%,9847,6.65%,1761,0.23%,61,0.19%,50,18.55%,4913
Graham,54.76%,1801,36.79%,1210,8.21%,270,0.12%,4,0.12%,4,17.97%,591
Lincoln,54.86%,11439,37.03%,7721,7.76%,1619,0.21%,43,0.13%,28,17.83%,3718
Wayne,56.44%,16588,39.40%,11580,4.01%,1178,0.10%,30,0.05%,14,17.04%,5008
Alamance,53.66%,22461,37.78%,15814,8.11%,3395,0.35%,145,0.11%,46,15.88%,6647
McDowell,52.18%,6407,37.08%,4553,10.38%,1275,0.21%,26,0.14%,17,15.10%,1854
Nash,54.17%,15309,39.42%,11142,6.20%,1751,0.18%,51,0.03%,9,14.74%,4167
Transylvania,52.29%,6734,37.60%,4842,9.19%,1183,0.42%,54,0.50%,64,14.69%,1892
Rutherford,52.73%,9792,38.57%,7162,8.53%,1585,0.11%,21,0.06%,11,14.16%,2630
Ashe,52.33%,5203,38.47%,3825,8.70%,865,0.29%,29,0.20%,20,13.86%,1378
Beaufort,53.59%,8154,40.57%,6172,5.48%,834,0.23%,35,0.13%,20,13.03%,1982
Harnett,53.34%,11596,40.33%,8767,5.92%,1287,0.15%,33,0.26%,56,13.01%,2829
Polk,52.04%,3516,40.02%,2704,7.30%,493,0.44%,30,0.19%,13,12.02%,812
Craven,52.65%,13264,40.96%,10317,6.07%,1528,0.26%,66,0.06%,16,11.70%,2947
Forsyth,52.81%,59160,41.54%,46543,5.13%,5747,0.37%,409,0.16%,174,11.26%,12617
Macon,49.34%,5267,39.43%,4209,10.50%,1121,0.41%,44,0.32%,34,9.91%,1058
Cherokee,49.26%,3883,39.69%,3129,9.96%,785,0.42%,33,0.67%,53,9.56%,754
New_Hanover,50.92%,27889,41.70%,22839,6.60%,3615,0.59%,322,0.19%,104,9.22%,5050
Greene,51.73%,2689,42.79%,2224,5.39%,280,0.04%,2,0.06%,3,8.95%,465
Clay,48.40%,1769,40.00%,1462,10.59%,387,0.85%,31,0.16%,6,8.40%,307
Burke,48.97%,13853,41.28%,11678,9.38%,2654,0.27%,76,0.11%,30,7.69%,2175
Rockingham,49.22%,14255,41.77%,12096,8.73%,2528,0.12%,36,0.15%,44,7.46%,2159
Lee,50.04%,7321,42.99%,6290,6.70%,980,0.19%,28,0.08%,11,7.05%,1031
Currituck,45.51%,2569,40.34%,2277,13.64%,770,0.43%,24,0.09%,5,5.17%,292
Watauga,47.30%,8146,42.67%,7349,8.22%,1415,0.81%,139,1.00%,173,4.63%,797
Lenoir,49.84%,9433,45.63%,8635,4.34%,822,0.12%,23,0.06%,12,4.22%,798
Dare,46.00%,4977,41.79%,4522,11.63%,1258,0.30%,33,0.28%,30,4.21%,455
Wilson,49.03%,10518,45.59%,9779,5.13%,1100,0.14%,31,0.11%,23,3.45%,739
Person,48.68%,4883,45.26%,4540,5.89%,591,0.13%,13,0.03%,3,3.42%,343
