County,Republican,Republican %,Democratic,Democratic %,Reform,Reform %,Libertarian,Libertarian %,Margin,Margin %,Total votes cast
Adair,2956,45.33%,2792,42.82%,751,11.52%,22,0.34%,164,2.51%,6521
Alfalfa,1504,56.48%,796,29.89%,348,13.07%,15,0.56%,708,26.59%,2663
Atoka,1542,35.26%,2281,52.16%,532,12.17%,18,0.41%,-739,-16.90%,4373
Beaver,1893,72.50%,515,19.72%,199,7.62%,4,0.15%,1378,52.78%,2611
Beckham,2912,44.45%,2797,42.70%,817,12.47%,25,0.38%,115,1.76%,6551
Blaine,2127,46.88%,1832,40.38%,563,12.41%,15,0.33%,295,6.50%,4537
Bryan,3943,34.79%,5962,52.60%,1396,12.32%,34,0.30%,-2019,-17.81%,11335
Caddo,3422,35.39%,4844,50.09%,1358,14.04%,46,0.48%,-1422,-14.71%,9670
Canadian,18139,59.40%,8977,29.40%,3297,10.80%,123,0.40%,9162,30.00%,30536
Carter,6769,42.83%,6979,44.16%,1997,12.64%,59,0.37%,-210,-1.33%,15804
Cherokee,5046,36.84%,6817,49.77%,1777,12.97%,56,0.41%,-1771,-12.93%,13696
Choctaw,1580,29.37%,3198,59.45%,589,10.95%,12,0.22%,-1618,-30.08%,5379
Cimarron,986,67.77%,361,24.81%,102,7.01%,6,0.41%,625,42.96%,1455
Cleveland,36457,52.24%,26038,37.31%,6785,9.72%,503,0.72%,10419,14.93%,69783
Coal,734,32.25%,1205,52.94%,323,14.19%,14,0.62%,-471,-20.69%,2276
Comanche,14461,47.76%,12841,42.41%,2819,9.31%,157,0.52%,1620,5.35%,30278
Cotton,1042,38.62%,1258,46.63%,381,14.12%,17,0.63%,-216,-8.01%,2698
Craig,2058,37.51%,2649,48.29%,758,13.82%,21,0.38%,-591,-10.77%,5486
Creek,9861,43.91%,9674,43.08%,2837,12.63%,85,0.38%,187,0.83%,22457
Custer,4723,47.81%,4027,40.76%,1101,11.14%,28,0.28%,696,7.05%,9879
Delaware,5230,43.81%,5094,42.67%,1573,13.18%,42,0.35%,136,1.14%,11939
Dewey,1179,51.24%,816,35.46%,292,12.69%,14,0.61%,363,15.78%,2301
Ellis,1090,54.61%,619,31.01%,279,13.98%,8,0.40%,471,23.60%,1996
Garfield,11712,53.62%,7504,34.36%,2523,11.55%,102,0.47%,4208,19.27%,21841
Garvin,3745,38.34%,4639,47.50%,1345,13.77%,38,0.39%,-894,-9.15%,9767
Grady,7228,46.34%,6256,40.11%,2048,13.13%,66,0.42%,972,6.23%,15598
Grant,1382,52.09%,867,32.68%,384,14.47%,20,0.75%,515,19.41%,2653
Greer,905,35.96%,1240,49.26%,361,14.34%,11,0.44%,-335,-13.31%,2517
Harmon,448,33.76%,729,54.94%,143,10.78%,7,0.53%,-281,-21.18%,1327
Harper,1036,58.27%,511,28.74%,219,12.32%,12,0.67%,525,29.53%,1778
Haskell,1442,30.01%,2762,57.48%,590,12.28%,11,0.23%,-1320,-27.47%,4805
Hughes,1510,30.13%,2748,54.83%,730,14.57%,24,0.48%,-1238,-24.70%,5012
Jackson,4422,51.53%,3245,37.81%,892,10.39%,23,0.27%,1177,13.71%,8582
Jefferson,865,32.69%,1430,54.04%,337,12.74%,14,0.53%,-565,-21.35%,2646
Johnston,1229,32.63%,1998,53.04%,532,14.12%,8,0.21%,-769,-20.41%,3767
Kay,9741,49.92%,6882,35.27%,2785,14.27%,106,0.54%,2859,14.65%,19514
Kingfisher,3423,60.27%,1626,28.63%,621,10.94%,9,0.16%,1797,31.64%,5679
