County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Adams,10774,36.51%,15338,51.98%,3186,10.80%,210,0.71%,-4564,-15.47%,29508
Allegheny,284480,52.82%,204067,37.89%,42309,7.86%,7759,1.44%,80413,14.93%,538615
Armstrong,11130,43.17%,11052,42.87%,3452,13.39%,145,0.56%,78,0.30%,25779
Beaver,39578,53.28%,26048,35.07%,8276,11.14%,377,0.51%,13530,18.22%,74279
Bedford,5954,32.85%,10064,55.52%,2041,11.26%,68,0.38%,-4110,-22.67%,18127
Berks,49887,40.99%,56289,46.25%,13788,11.33%,1754,1.44%,-6402,-5.26%,121718
Blair,15036,36.95%,21282,52.30%,4014,9.86%,359,0.88%,-6246,-15.35%,40691
Bradford,7736,36.82%,10393,49.47%,2712,12.91%,167,0.79%,-2657,-12.65%,21008
Bucks,103313,45.44%,94899,41.74%,24544,10.80%,4607,2.03%,8414,3.70%,227363
Butler,21990,36.29%,32038,52.88%,6145,10.14%,418,0.69%,-10048,-16.58%,60591
Cambria,30391,51.27%,20341,34.32%,7837,13.22%,706,1.19%,10050,16.95%,59275
Cameron,822,36.84%,1113,49.89%,283,12.68%,13,0.58%,-291,-13.04%,2231
Carbon,9457,47.69%,7193,36.28%,2992,15.09%,187,0.94%,2264,11.42%,19829
Centre,21145,45.16%,20935,44.71%,4173,8.91%,573,1.22%,210,0.45%,46826
Chester,64783,40.91%,77029,48.64%,14067,8.88%,2487,1.57%,-12246,-7.73%,158366
Clarion,5954,39.51%,6916,45.89%,2064,13.70%,137,0.91%,-962,-6.38%,15071
Clearfield,11991,41.41%,12987,44.85%,3758,12.98%,219,0.76%,-996,-3.44%,28955
Clinton,5658,49.27%,4293,37.39%,1424,12.40%,108,0.94%,1365,11.89%,11483
Columbia,8379,41.13%,8234,40.42%,3654,17.94%,105,0.52%,145,0.71%,20372
Crawford,12943,41.16%,14659,46.62%,3519,11.19%,325,1.03%,-1716,-5.46%,31446
Cumberland,28749,36.40%,43943,55.63%,5669,7.18%,624,0.79%,-15194,-19.24%,78985
Dauphin,40936,44.03%,44417,47.78%,6967,7.49%,651,0.70%,-3481,-3.74%,92971
Delaware,115946,49.39%,92628,39.46%,21883,9.32%,4291,1.83%,23318,9.93%,234748
Elk,5749,44.18%,4889,37.57%,2293,17.62%,82,0.63%,860,6.61%,13013
Erie,57508,52.86%,39884,36.66%,10386,9.55%,1013,0.93%,17624,16.20%,108791
Fayette,26359,56.65%,14019,30.13%,5722,12.30%,432,0.93%,12340,26.52%,46532
Forest,964,43.80%,902,40.98%,325,14.77%,10,0.45%,62,2.82%,2201
Franklin,14980,33.49%,25392,56.77%,4127,9.23%,231,0.52%,-10412,-23.28%,44730
Fulton,1620,33.28%,2665,54.75%,554,11.38%,29,0.60%,-1045,-21.47%,4868
Greene,7620,55.47%,4002,29.14%,2052,14.94%,62,0.45%,3618,26.34%,13736
Huntingdon,5285,36.46%,7324,50.53%,1813,12.51%,73,0.50%,-2039,-14.07%,14495
Indiana,13868,45.35%,12874,42.10%,3674,12.01%,167,0.55%,994,3.25%,30583
Jefferson,5846,35.52%,8156,49.56%,2322,14.11%,133,0.81%,-2310,-14.04%,16457
Juniata,2896,36.27%,4128,51.70%,911,11.41%,49,0.61%,-1232,-15.43%,7984
Lackawanna,46377,56.09%,26930,32.57%,8189,9.90%,1185,1.43%,19447,23.52%,82681
Lancaster,49120,31.63%,92875,59.81%,11601,7.47%,1690,1.09%,-43755,-28.18%,155286
Lawrence,18993,52.38%,13088,36.10%,4002,11.04%,176,0.49%,5905,16.29%,36259
Lebanon,14187,34.83%,21885,53.73%,4235,10.40%,428,1.05%,-7698,-18.90%,40735
Lehigh,48568,45.77%,45103,42.51%,10947,10.32%,1492,1.41%,3465,3.27%,106110
Luzerne,60174,51.51%,43577,37.30%,12424,10.64%,642,0.55%,16597,14.21%,116817
