County,Republican,Republican %,Democratic,Democratic %,Independent,Independent %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Aurora,709,47.05%,664,44.06%,119,7.90%,15,1.00%,45,2.99%,1507
Beadle,3670,42.77%,3984,46.43%,842,9.81%,85,0.99%,-314,-3.66%,8581
Bennett,539,47.07%,507,44.28%,93,8.12%,6,0.52%,32,2.79%,1145
Bon_Homme,1428,41.56%,1569,45.66%,391,11.38%,48,1.40%,-141,-4.10%,3436
Brookings,5112,45.35%,5105,45.29%,979,8.69%,76,0.67%,7,0.06%,11272
Brown,6801,41.35%,7913,48.11%,1622,9.86%,111,0.67%,-1112,-6.76%,16447
Brule,981,40.81%,1091,45.38%,281,11.69%,51,2.12%,-110,-4.58%,2404
Buffalo,134,20.94%,465,72.66%,35,5.47%,6,0.94%,-331,-51.72%,640
Butte,1947,53.24%,1132,30.95%,541,14.79%,37,1.01%,815,22.29%,3657
Campbell,623,64.23%,202,20.82%,140,14.43%,5,0.52%,421,43.40%,970
Charles_Mix,1711,42.40%,1913,47.41%,390,9.67%,21,0.52%,-202,-5.01%,4035
Clark,998,44.51%,956,42.64%,272,12.13%,16,0.71%,42,1.87%,2242
Clay,2008,36.04%,2980,53.48%,505,9.06%,79,1.42%,-972,-17.44%,5572
Codington,4995,45.18%,4722,42.71%,1239,11.21%,99,0.90%,273,2.47%,11055
Corson,533,41.00%,539,41.46%,216,16.62%,12,0.92%,-6,-0.46%,1300
Custer,1740,51.83%,1122,33.42%,418,12.45%,77,2.29%,618,18.41%,3357
Davison,3371,44.78%,3364,44.69%,737,9.79%,56,0.74%,7,0.09%,7528
Day,1282,36.29%,1840,52.08%,395,11.18%,16,0.45%,-558,-15.79%,3533
Deuel,955,40.66%,1090,46.40%,275,11.71%,29,1.23%,-135,-5.75%,2349
Dewey,657,33.20%,1114,56.29%,195,9.85%,13,0.66%,-457,-23.09%,1979
Douglas,1210,63.38%,524,27.45%,161,8.43%,14,0.73%,686,35.94%,1909
Edmunds,1055,45.67%,973,42.12%,263,11.39%,19,0.82%,82,3.55%,2310
Fall_River,1636,47.31%,1357,39.24%,417,12.06%,48,1.39%,279,8.07%,3458
Faulk,726,52.27%,493,35.49%,165,11.88%,5,0.36%,233,16.77%,1389
Grant,1782,43.64%,1805,44.21%,471,11.54%,25,0.61%,-23,-0.56%,4083
Gregory,1208,49.65%,923,37.94%,286,11.76%,16,0.66%,285,11.71%,2433
Haakon,887,68.81%,284,22.03%,110,8.53%,8,0.62%,603,46.78%,1289
Hamlin,1352,49.02%,1101,39.92%,285,10.33%,20,0.73%,251,9.10%,2758
Hand,1187,52.34%,803,35.41%,250,11.02%,28,1.23%,384,16.93%,2268
Hanson,801,52.22%,541,35.27%,170,11.08%,22,1.43%,260,16.95%,1534
Harding,537,68.41%,151,19.24%,90,11.46%,7,0.89%,386,49.17%,785
Hughes,4469,56.80%,2788,35.43%,531,6.75%,80,1.02%,1681,21.37%,7868
Hutchinson,2177,55.66%,1285,32.86%,409,10.46%,40,1.02%,892,22.81%,3911
Hyde,493,54.54%,309,34.18%,95,10.51%,7,0.77%,184,20.35%,904
Jackson,646,55.26%,423,36.18%,88,7.53%,12,1.03%,223,19.08%,1169
Jerauld,530,38.86%,656,48.09%,151,11.07%,27,1.98%,-126,-9.24%,1364
Jones,463,63.51%,184,25.24%,75,10.29%,7,0.96%,279,38.27%,729
Kingsbury,1297,43.22%,1357,45.22%,320,10.66%,27,0.90%,-60,-2.00%,3001
Lake,1966,38.48%,2526,49.44%,593,11.61%,24,0.47%,-560,-10.96%,5109
Lawrence,4430,46.92%,3568,37.79%,1308,13.85%,136,1.44%,862,9.13%,9442
Lincoln,4201,48.92%,3643,42.42%,682,7.94%,61,0.71%,558,6.50%,8587
Lyman,726,47.67%,646,42.42%,130,8.54%,21,1.38%,80,5.25%,1523
Marshall,861,38.33%,1185,52.76%,189,8.41%,11,0.49%,-324,-14.43%,2246
