County,Democratic,William Jefferson Clinton %,Republican,Robert Joseph Dole %,Henry Ross Perot,Henry Ross Perot %,Various candidates,Various candidates %,Margin,Margin %,Total votes cast
Anderson,13457,48.91%,11943,43.40%,1817,6.60%,299,1.09%,1514,5.50%,27516
Bedford,5735,50.82%,4634,41.07%,823,7.29%,92,0.82%,1101,9.76%,11284
Benton,4341,58.27%,2395,32.15%,663,8.90%,51,0.68%,1946,26.12%,7450
Bledsoe,1621,45.89%,1626,46.04%,251,7.11%,34,0.96%,-5,-0.14%,3532
Blount,14687,39.77%,19310,52.29%,2556,6.92%,377,1.02%,-4623,-12.52%,36930
Bradley,9095,34.16%,15478,58.13%,1856,6.97%,199,0.75%,-6383,-23.97%,26628
Campbell,6122,53.77%,4393,38.59%,785,6.90%,85,0.75%,1729,15.19%,11385
Cannon,2318,55.39%,1468,35.08%,361,8.63%,38,0.91%,850,20.31%,4185
Carroll,4912,49.87%,4206,42.70%,697,7.08%,34,0.35%,706,7.17%,9849
Carter,6218,34.01%,10540,57.65%,1383,7.56%,141,0.77%,-4322,-23.64%,18282
Cheatham,4883,49.01%,4283,42.98%,705,7.08%,93,0.93%,600,6.02%,9964
Chester,1922,39.22%,2746,56.03%,203,4.14%,30,0.61%,-824,-16.81%,4901
Claiborne,3861,44.49%,4023,46.35%,727,8.38%,68,0.78%,-162,-1.87%,8679
Clay,1559,51.86%,1108,36.86%,316,10.51%,23,0.77%,451,15.00%,3006
Cocke,3326,38.27%,4481,51.56%,798,9.18%,86,0.99%,-1155,-13.29%,8691
Coffee,7951,48.78%,7038,43.18%,1205,7.39%,107,0.66%,913,5.60%,16301
Crockett,2256,51.96%,1872,43.11%,201,4.63%,13,0.30%,384,8.84%,4342
Cumberland,6676,40.84%,8096,49.53%,1399,8.56%,176,1.08%,-1420,-8.69%,16347
Davidson,110805,55.30%,78453,39.15%,9018,4.50%,2106,1.05%,32352,16.15%,200382
Decatur,2262,53.55%,1712,40.53%,229,5.42%,51,0.96%,1517,28.61%,5302
DeKalb,3213,60.60%,1696,31.99%,342,6.45%,21,0.50%,550,13.02%,4224
Dickson,7458,53.93%,5283,38.20%,996,7.20%,92,0.67%,2175,15.73%,13829
Dyer,5602,49.25%,5059,44.48%,676,5.94%,37,0.33%,543,4.77%,11374
