County,Republican,Republican %,Democratic,Democratic %,Independent,Independent %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Anderson,6458,48.19%,5693,42.49%,1170,8.73%,79,0.59%,765,5.71%,13400
Andrews,2360,58.99%,1181,29.52%,431,10.77%,29,0.72%,1179,29.47%,4001
Angelina,11789,46.38%,11346,44.63%,2160,8.50%,126,0.50%,443,1.74%,25421
Aransas,3769,50.66%,2964,39.84%,655,8.80%,52,0.70%,805,10.82%,7440
Archer,1974,54.01%,1235,33.79%,437,11.96%,9,0.25%,739,20.22%,3655
Armstrong,582,62.18%,272,29.06%,75,8.01%,7,0.75%,310,33.12%,936
Atascosa,4102,44.33%,4259,46.02%,813,8.79%,80,0.86%,-157,-1.70%,9254
Austin,4669,58.36%,2719,33.98%,577,7.21%,36,0.45%,1950,24.37%,8001
Bailey,1246,60.31%,706,34.17%,109,5.28%,5,0.24%,540,26.14%,2066
Bandera,3700,65.22%,1383,24.38%,520,9.17%,70,1.23%,2317,40.84%,5673
Bastrop,6323,43.35%,6773,46.44%,1342,9.20%,147,1.01%,-450,-3.09%,14585
Baylor,860,41.23%,955,45.78%,262,12.56%,9,0.43%,-95,-4.55%,2086
Bee,3611,41.19%,4561,52.03%,539,6.15%,55,0.63%,-950,-10.84%,8766
Bell,30348,53.20%,22638,39.68%,3666,6.43%,397,0.70%,7710,13.51%,57049
Bexar,161619,44.59%,180308,49.74%,17822,4.92%,2740,0.76%,-18689,-5.16%,362489
Blanco,1919,57.87%,1028,31.00%,330,9.95%,39,1.18%,891,26.87%,3316
Borden,194,58.08%,93,27.84%,45,13.47%,2,0.60%,101,30.24%,334
Bosque,2840,47.13%,2427,40.28%,739,12.26%,20,0.33%,413,6.85%,6026
Bowie,12750,43.56%,13657,46.66%,2760,9.43%,103,0.35%,-907,-3.10%,29270
Brazoria,36392,55.44%,22959,34.98%,5869,8.94%,418,0.64%,13433,20.47%,65638
Brazos,22082,57.14%,13968,36.15%,2215,5.73%,379,0.98%,8114,21.00%,38644
Brewster,1438,41.66%,1643,47.60%,299,8.66%,72,2.09%,-205,-5.94%,3452
Briscoe,416,46.64%,408,45.74%,65,7.29%,3,0.34%,8,0.90%,892
Brooks,413,11.84%,2945,84.43%,108,3.10%,22,0.63%,-2532,-72.59%,3488
Brown,6524,55.35%,4138,35.11%,1081,9.17%,44,0.37%,2386,20.24%,11787
Burleson,2174,43.89%,2419,48.84%,347,7.01%,13,0.26%,-245,-4.95%,4953
Burnet,5744,51.99%,4123,37.32%,1108,10.03%,74,0.67%,1621,14.67%,11049
Caldwell,3239,41.41%,3961,50.65%,545,6.97%,76,0.97%,-722,-9.23%,7821
Calhoun,2832,46.33%,2753,45.04%,507,8.29%,21,0.34%,79,1.29%,6113
Callahan,2480,52.82%,1666,35.48%,534,11.37%,15,0.32%,814,17.34%,4695
Cameron,18434,32.63%,34891,61.76%,2760,4.89%,408,0.72%,-16457,-29.13%,56493
Camp,1488,40.63%,1912,52.21%,252,6.88%,10,0.27%,-424,-11.58%,3662
Carson,1742,63.81%,742,27.18%,227,8.32%,19,0.70%,1000,36.63%,2730
Cass,4066,37.51%,5691,52.50%,1038,9.58%,44,0.41%,-1625,-14.99%,10839
Castro,1231,49.22%,1107,44.26%,144,5.76%,19,0.76%,124,4.96%,2501
Chambers,4101,52.37%,2876,36.73%,818,10.45%,36,0.46%,1225,15.64%,7831
Cherokee,6483,51.07%,5185,40.85%,971,7.65%,55,0.43%,1298,10.23%,12694
Childress,1072,54.64%,719,36.65%,165,8.41%,6,0.31%,353,17.99%,1962
Clay,1997,48.00%,1690,40.63%,465,11.18%,8,0.19%,307,7.38%,4160
Cochran,667,49.93%,541,40.49%,127,9.51%,1,0.07%,126,9.43%,1336
Coke,790,51.10%,595,38.49%,157,10.16%,4,0.26%,195,12.61%,1546
Coleman,1793,49.19%,1488,40.82%,349,9.57%,15,0.41%,305,8.37%,3645
Collin,83750,63.01%,37854,28.48%,10443,7.86%,878,0.66%,45896,34.53%,132925
Collingsworth,729,50.94%,581,40.60%,118,8.25%,3,0.21%,148,10.34%,1431
Colorado,3381,49.90%,2795,41.25%,574,8.47%,25,0.37%,586,8.65%,6775
Comal,16763,64.33%,7132,27.37%,1903,7.30%,259,0.99%,9631,36.96%,26057
Comanche,2123,44.42%,2138,44.74%,511,10.69%,7,0.15%,-15,-0.31%,4779
Concho,488,47.29%,434,42.05%,107,10.37%,3,0.29%,54,5.23%,1032
