County,Republican,Republican %,Democratic,Democratic %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Accomack,5013,43.02%,5220,44.79%,1218,10.45%,203,1.74%,-207,-1.78%,11654
Albemarle,15243,48.81%,14089,45.12%,1533,4.91%,363,1.16%,1154,3.70%,31228
Alleghany,2015,39.71%,2398,47.26%,607,11.96%,54,1.06%,-383,-7.55%,5074
Amelia,2119,51.13%,1625,39.21%,323,7.79%,77,1.86%,494,11.92%,4144
Amherst,5094,46.63%,4864,44.53%,835,7.64%,131,1.20%,230,2.11%,10924
Appomattox,2625,47.93%,2239,40.88%,510,9.31%,103,1.88%,386,7.05%,5477
Arlington,26106,34.63%,45573,60.46%,2782,3.69%,915,1.21%,-19467,-25.83%,75376
Augusta,13458,60.89%,5965,26.99%,1916,8.67%,763,3.45%,7493,33.90%,22102
Bath,847,41.30%,922,44.95%,247,12.04%,35,1.71%,-75,-3.66%,2051
Bedford,11955,54.07%,7786,35.22%,1976,8.94%,392,1.77%,4169,18.86%,22109
Bland,1167,46.00%,939,37.01%,385,15.18%,46,1.81%,228,8.99%,2537
Botetourt,6404,51.73%,4576,36.96%,1138,9.19%,262,2.12%,1828,14.77%,12380
Brunswick,2059,34.79%,3442,58.16%,340,5.75%,77,1.30%,-1383,-23.37%,5918
Buchanan,2785,26.96%,6551,63.40%,858,8.30%,138,1.34%,-3766,-36.45%,10332
Buckingham,1974,40.70%,2374,48.95%,392,8.08%,110,2.27%,-400,-8.25%,4850
Campbell,10273,54.35%,6788,35.91%,1505,7.96%,336,1.78%,3485,18.44%,18902
Caroline,2816,38.65%,3897,53.49%,521,7.15%,51,0.70%,-1081,-14.84%,7285
Carroll,5088,51.04%,3611,36.22%,1158,11.62%,112,1.12%,1477,14.82%,9969
Charles_City,729,26.16%,1842,66.09%,178,6.39%,38,1.36%,-1113,-39.94%,2787
Charlotte,2103,45.58%,2007,43.50%,431,9.34%,73,1.58%,96,2.08%,4614
