County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Green,Green %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Adams,4119,52.65%,2450,31.31%,1122,14.34%,54,0.69%,79,1.01%,1669,21.33%,7824
Ashland,3808,56.02%,1863,27.41%,861,12.67%,149,2.19%,117,1.72%,1945,28.61%,6798
Barron,8025,46.68%,6158,35.82%,2692,15.66%,215,1.25%,101,0.59%,1867,10.86%,17191
Bayfield,3895,53.07%,2250,30.65%,899,12.25%,233,3.17%,63,0.86%,1645,22.41%,7340
Brown,42823,47.14%,38563,42.45%,8036,8.85%,817,0.90%,598,0.66%,4260,4.69%,90837
Buffalo,2681,48.25%,1800,32.39%,972,17.49%,69,1.24%,35,0.63%,881,15.85%,5557
Burnett,3625,50.56%,2452,34.20%,962,13.42%,81,1.13%,49,0.68%,1173,16.36%,7169
Calumet,6940,42.58%,7049,43.25%,2112,12.96%,77,0.47%,121,0.74%,-109,-0.67%,16299
Chippewa,9647,45.65%,7520,35.59%,3567,16.88%,228,1.08%,169,0.80%,2127,10.07%,21131
Clark,5540,43.08%,4622,35.94%,2486,19.33%,108,0.84%,105,0.82%,918,7.14%,12861
Columbia,10336,48.03%,8377,38.92%,2377,11.05%,221,1.03%,210,0.98%,1959,9.10%,21521
Crawford,3658,51.81%,2149,30.44%,1060,15.01%,129,1.83%,64,0.91%,1509,21.37%,7060
Dane,109347,56.86%,59487,30.93%,12436,6.47%,8592,4.47%,2440,1.27%,49860,25.93%,192302
Dodge,12625,42.91%,12890,43.81%,3322,11.29%,232,0.79%,353,1.20%,-265,-0.90%,29422
Door,5590,45.63%,4948,40.39%,1475,12.04%,130,1.06%,108,0.88%,642,5.24%,12251
Douglas,10976,59.04%,5167,27.79%,2001,10.76%,277,1.49%,170,0.91%,5809,31.25%,18591
Dunn,7536,48.89%,4917,31.90%,2555,16.57%,276,1.79%,131,0.85%,2619,16.99%,15415
Eau_Claire,20298,50.26%,13900,34.41%,5160,12.78%,649,1.61%,383,0.95%,6398,15.84%,40390
Florence,869,40.57%,927,43.28%,316,14.75%,10,0.47%,20,0.93%,-58,-2.71%,2142
Fond_du_Lac,15542,42.08%,16488,44.65%,4204,11.38%,247,0.67%,450,1.22%,-946,-2.56%,36931
Forest,2092,52.76%,1166,29.41%,678,17.10%,12,0.30%,17,0.43%,926,23.35%,3965
Grant,9203,47.90%,7021,36.54%,2648,13.78%,194,1.01%,148,0.77%,2182,11.36%,19214
